fish,stage,day,distance,yds,trial
fish9,Baseline,16,5.779936483781427,-0.0740719306820808,5
fish9,Baseline,16,2.9712315543587384,-0.3298838651372817,6
fish9,Baseline,17,2.438749299700833,-0.1603174721300558,1
fish9,Baseline,17,2.304278958677099,-0.1316890952928132,2
fish9,Baseline,17,8.105720307878515,0.0267265219729055,3
fish9,Baseline,17,2.5093481183330457,-0.2792027684702146,4
fish9,Baseline,17,7.161371518113191,4.62511177956056,5
fish9,Baseline,17,6.4955063412498735,1.2475810705145824,6
fish9,Baseline,18,3.722410810798501,-0.2126743184708041,1
fish9,Baseline,18,4.038910880650151,-0.0560549889966563,2
fish9,Baseline,18,3.062406142094789,-0.1650528897442648,3
fish9,Baseline,18,12.187261431657166,5.965945654080565,4
fish9,Baseline,18,3.2989201684513527,-0.337472912715431,5
fish9,Baseline,18,3.1926162973854817,-0.3332679967811928,6
fish9,Baseline,19,2.249628750218656,-0.1245671289295251,1
fish9,Baseline,19,2.432302723424595,-0.0638890490380767,2
fish9,Baseline,19,12.558404343649402,5.877529639444215,3
fish9,Baseline,19,2.752054837880724,-0.2023822242211299,4
fish9,Baseline,19,3.009286272832424,-0.1986029220189016,5
fish9,Baseline,19,2.6358039335066685,-0.065665870168146,6
fish9,Baseline,20,3.001790781387768,0.2696315751622553,1
fish9,Baseline,20,8.389159139807987,7.378969347859704,2
fish9,Baseline,20,3.431066093518237,0.8455208481011947,3
fish9,Baseline,20,2.8548533013744266,0.2967851841520706,4
fish9,Baseline,20,2.886767192801194,0.1673364588077087,5
fish9,Baseline,20,4.441274373865422,-1.7683492005350796,6
fish9,Baseline,21,3.0120883104680267,-0.0027317984939289,1
fish9,Baseline,21,2.5787513917990683,-0.0773759399151849,2
fish9,Baseline,21,2.899107029293817,-0.0426706061531373,3
fish9,Baseline,21,2.762799203650381,-0.0414510748648104,4
fish9,Baseline,21,2.545344858554115,-0.2449497234171575,5
fish9,Baseline,21,2.323612917357279,-0.1535920582449229,6
fish9,Baseline,22,3.1495920085246856,0.3293370230424098,1
fish9,Baseline,22,3.232900006255357,0.3145807472753232,2
fish9,Baseline,22,2.4413668957119774,0.1452705482949553,3
fish9,Baseline,22,2.989634634888344,-0.3723196229686639,4
fish9,Baseline,22,3.782555816620517,0.0271031638810522,5
fish9,Baseline,22,3.079513693054057,0.3480198238907474,6
fish9,Baseline,23,2.584085189121448,-0.06308947522987,1
fish9,Baseline,23,3.266411908600175,-0.4509831107480745,2
fish9,Baseline,23,2.567731087139592,-0.0413703241142642,3
fish9,Baseline,23,2.561122178459704,-0.2630266767224825,4
fish9,Baseline,23,5.7009491264951855,1.7901774461965223,5
fish9,Baseline,23,3.2413321945443223,-0.1494959387278365,6
fish9,Baseline,24,2.707154339523557,0.0590065942014027,1
fish9,Baseline,24,3.0892530196749903,0.0233480859291075,2
fish9,Baseline,24,2.635034953992077,-0.0656256834009145,3
fish9,Baseline,24,4.440067509070822,0.118630273313915,4
fish9,Baseline,24,2.7948179628113845,0.2884466647196534,5
fish9,Rotation,1,9.284729375244938,7.215188469140425,1
fish9,Rotation,1,7.796923054693628,5.982127930544812,2
fish9,Rotation,1,7.163491820505556,3.500550508436267,3
fish9,Rotation,1,6.688887502288997,1.0156990052162325,4
fish9,Rotation,1,6.5120032101450125,0.9280443432414552,5
fish9,Rotation,1,8.834947982172014,4.444701457692508,6
fish9,Rotation,2,3.1990733550853325,-1.326379021548333,1
fish9,Rotation,2,7.897875928271761,2.200916912796992,2
fish9,Rotation,2,7.154171834691055,-1.0520835901667724,3
fish9,Rotation,2,11.227340666309855,7.037259331443979,4
fish9,Rotation,2,3.6287213664572366,-0.4793116295236396,5
fish9,Rotation,2,5.426453029450116,1.95169367362984,6
fish9,Rotation,3,8.298175581116702,-1.6388146230994616,1
fish9,Rotation,3,8.845304197167572,-6.143569263847787,2
fish9,Rotation,3,15.415212633979952,9.055792204667824,3
fish9,Rotation,3,10.03686800210663,7.498097994818999,4
fish9,Rotation,3,4.050011227566967,1.7661034948122023,5
fish9,Rotation,3,4.655768688565452,3.1584599313961106,6
fish9,Rotation,4,11.755422294793094,4.689278420273928,1
fish9,Rotation,4,11.799503305245215,-5.112548781541438,2
fish9,Rotation,4,5.933877260275056,-3.661940238568781,3
fish9,Rotation,4,3.667697671440203,1.0005812258617306,4
fish9,Rotation,4,4.902221054072841,-3.301415339626545,5
fish9,Rotation,4,5.778810179730943,0.5763265593327432,6
fish9,Rotation,5,5.06574409360001,4.356608372797979,1
fish9,Rotation,5,8.11742760405194,-5.280203782535523,2
fish9,Rotation,5,4.3050287090016255,-1.2030285549348307,3
fish9,Rotation,5,7.733483595427431,-7.938079295237143,4
fish9,Rotation,5,5.345932996688514,-4.612283675385925,5
fish9,Rotation,5,2.9248246343619235,0.2539823711495159,6
fish9,Rotation,6,13.591253907562365,-9.96845387024936,1
