fish,stage,day,mean_y,median_y,std_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_σ_μ_y,median_σ_μ_y,mean_σ_μ_hdi_3,median_σ_μ_hdi_3,mean_σ_μ_hdi_97,median_σ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday,μ_hdi_3_gamma_medians,μ_hdi_97_gamma_medians,μ_hdi_3_gamma_means,μ_hdi_97_gamma_means,y_gamma_means,y_gamma_medians
3.0,Rotation,11.0,7.2144195011428005,6.793855194176508,2.038938117530167,4.29,4.3,3.6803333333333335,3.701,4.8726666666666665,4.887,0.6623333333333333,0.669,0.13933333333333334,0.137,1.144,1.148,4.537833333333333,4.561,3.0404999999999998,3.042,6.040333333333333,6.0975,6.008666666666667,5.942,0.887,0.9245,11.756666666666668,11.587,37,3.704376404776761,5.0580834637213306,3.6838451262760548,5.0430684238908725,7.572749514813223,7.1713619522622265
3.0,Rotation,12.0,4.442779402851194,3.2610461278843568,2.360767600599846,4.261666666666667,4.27,3.624,3.639,4.837666666666667,4.844,0.6436666666666667,0.649,0.141,0.144,1.1289999999999998,1.136,4.288833333333334,4.216,2.924,2.938,5.6465,5.521000000000001,5.657333333333334,5.5335,1.0156666666666665,0.98,11.236833333333331,10.998999999999999,38,3.6427930913540068,5.013038592683356,3.6276519285409665,5.0049215889194825,5.126924182182953,4.0941940363290055
3.0,Rotation,13.0,5.66821265157659,5.537863100016931,3.0512411651589106,4.237666666666667,4.245,3.5836666666666663,3.594,4.824666666666666,4.825,0.6283333333333333,0.633,0.134,0.135,1.1086666666666667,1.115,4.3305,4.3835,2.911,2.9445,5.726833333333334,5.758,5.875666666666667,5.8325,0.9511666666666666,0.962,11.780500000000002,11.7895,39,3.5973760187070667,4.988706557447948,3.587002487682152,4.986611151269195,6.560420624749878,6.444405511651796
3.0,Rotation,14.0,5.033531472218302,4.691078562508219,1.7679367709971432,4.216666666666666,4.223,3.5533333333333332,3.563,4.824666666666666,4.824,0.615,0.619,0.13133333333333333,0.132,1.093,1.096,4.325166666666667,4.329000000000001,2.952833333333333,2.968,5.652833333333334,5.628,5.656333333333333,5.5535,1.0958333333333334,1.0585,11.170499999999999,11.069500000000001,40,3.566255843726905,4.982444933125652,3.5565651609881432,4.982262971656707,5.40727430476971,5.0868831990605266
3.0,Rotation,15.0,7.012070487927868,6.584387892238348,3.0525929938456913,4.198666666666667,4.204,3.5216666666666665,3.534,4.824,4.826,0.6036666666666667,0.607,0.12133333333333333,0.13,1.0746666666666667,1.087,4.374666666666667,4.4365000000000006,2.9798333333333336,2.9845,5.7973333333333334,5.916499999999999,5.928833333333333,5.817,0.9296666666666665,0.9115,11.729999999999999,11.155,41,3.537183902702352,4.9819053269077385,3.5244503600010986,4.976593017319545,7.777187133232391,7.386531227715658
3.0,Rotation,16.0,5.081623793326742,4.731461177132598,2.1721807352111804,4.505333333333333,4.188,3.4286666666666665,3.497,5.578,4.82,1.1836666666666666,0.597,0.3293333333333333,0.104,1.9716666666666667,1.05,4.758,4.372,2.8303333333333334,3.0229999999999997,6.735666666666667,5.797000000000001,6.0808333333333335,5.753,0.992,0.9235,11.748166666666668,11.3625,42,3.4990601912900896,4.966058668297001,3.449570179671329,5.996997049102203,5.618528450914672,5.298120594585116
3.0,Washout,1.0,7.9536653466956615,8.437972619676493,2.657299042161325,5.01,5.14,3.3936666666666664,3.292,6.761666666666667,7.094,2.2333333333333334,2.357,0.7693333333333333,0.78,3.607333333333333,3.815,6.357333333333333,6.7155000000000005,2.7475,2.8895,9.921166666666666,10.481000000000002,7.511500000000001,7.84,1.3699999999999999,1.579,13.590333333333334,13.841,43,3.4091518689341975,8.208781352357159,3.504662738587909,7.809960434528975,8.492579583225112,8.95067582639955
3.0,Washout,2.0,5.869482451663525,4.688197789735969,3.4783820220295776,4.679333333333333,4.75,3.5713333333333335,3.597,5.926333333333333,6.097,1.9160000000000001,1.986,0.7046666666666667,0.748,3.091666666666667,3.192,5.100333333333333,4.7705,2.2255,2.232,8.033333333333333,7.2105,6.426833333333334,5.958,0.9335,0.969,12.317,11.5075,44,3.6966836982622238,7.012511991132424,3.6607706954170833,6.81087062175572,6.954449206107801,5.933231858383104
3.0,Washout,3.0,3.602104146394933,2.8666359214686485,1.8246832000737891,4.49,4.538,3.515,3.52,5.498,5.585,1.7276666666666667,1.776,0.6096666666666667,0.618,2.8510000000000004,2.891,4.282166666666667,4.0015,1.9886666666666668,1.8375,6.656166666666667,6.2835,5.6513333333333335,5.4055,0.7138333333333332,0.6339999999999999,11.405833333333334,11.263000000000002,45,3.590293262973121,6.407618613912389,3.58355279320164,6.310245098310875,4.113429877800197,3.4624698342620728
3.0,Washout,4.0,6.716466930448327,6.677330403041231,1.732949091288258,4.357666666666667,4.394,3.477,3.505,5.2556666666666665,5.324,1.595,1.631,0.5676666666666667,0.593,2.722,2.771,5.152666666666667,5.2215,2.4911666666666665,2.4909999999999997,8.011833333333334,8.145,6.422166666666667,6.4625,1.0075,0.9889999999999999,12.1015,11.985,46,3.570125773667433,6.115504794624591,3.53726715581361,6.03049241654707,6.997478854803057,6.9598099631704065
