fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3.0,Baseline,21.0,3.5025442764674595,3.047589499249402,3.2685,3.271,2.6506666666666665,2.669,3.9506666666666668,3.967,4.1001666666666665,4.0295000000000005,2.858833333333333,2.845,5.653833333333334,5.571,4.1225,4.0985,-1.4958333333333333,-1.5594999999999999,9.713333333333333,9.6555,21
3.0,Baseline,22.0,3.7730466481920737,3.1786854383977907,3.2536666666666663,3.256,2.5700000000000003,2.559,3.8813333333333335,3.869,4.132833333333333,4.0105,2.8233333333333337,2.8245,5.7828333333333335,5.4815000000000005,4.1385000000000005,4.029,-1.5183333333333333,-1.599,9.996,9.728,22
3.0,Baseline,23.0,4.444255554335323,3.9435654209895925,3.24,3.242,2.610333333333333,2.625,3.9305,3.943,4.212833333333333,4.118,2.8181666666666665,2.7925,5.98,5.6945,4.201833333333333,4.1259999999999994,-1.6126666666666667,-1.751,10.5145,10.3975,23
3.0,Baseline,24.0,3.542244547747343,2.806595676459681,3.2281666666666666,3.23,2.5431666666666666,2.537,3.8755,3.868,4.0405,3.9165,2.7496666666666667,2.741,5.557166666666666,5.3365,4.066166666666667,3.9645,-1.5435,-1.526,9.801166666666667,9.81,24
3.0,Baseline,25.0,3.405526105723396,3.02784054989728,3.215666666666667,3.219,2.577,2.574,3.9186666666666667,3.913,3.965,3.9074999999999998,2.750833333333333,2.7625,5.4235,5.4015,3.9726666666666666,3.936,-1.5918333333333334,-1.567,9.3065,9.211,25
3.0,Baseline,26.0,5.103996834497419,3.8170315250610285,3.7739999999999996,3.209,2.981666666666667,2.583,4.606333333333333,3.93,5.228000000000001,4.011,3.331666666666667,2.7755,7.3845,5.49,5.2203333333333335,3.9885,-0.9443333333333334,-1.4125,11.422333333333334,9.5875,26
3.0,Rotation,1.0,6.297489644961293,6.715990680049025,4.798333333333333,4.904,3.7466666666666666,3.779,5.811333333333333,5.959,6.407333333333334,6.4399999999999995,4.274,4.285,8.9225,8.876,6.4301666666666675,6.4885,0.498,0.428,12.612833333333334,12.6775,27
3.0,Rotation,2.0,7.241754719263452,7.478347500642734,4.514666666666667,4.587,3.6199999999999997,3.682,5.401666666666666,5.516,6.5225,6.574,4.135666666666666,4.093500000000001,9.357999999999999,9.317,6.5393333333333326,6.589499999999999,0.06833333333333333,0.0395,13.014000000000001,12.797,28
3.0,Rotation,3.0,6.124165208750511,5.924681656993249,4.319,4.37,3.4646666666666666,3.496,5.122,5.173,5.916166666666666,5.6785,3.8569999999999998,3.841,8.321166666666667,7.8245000000000005,5.949166666666667,5.7075,-0.3373333333333333,-0.40249999999999997,12.145833333333334,11.401,29
3.0,Rotation,4.0,4.588912248283068,4.0869450223439205,4.18,4.217,3.379,3.402,4.981999999999999,5.02,5.3133333333333335,5.1505,3.689833333333333,3.694,7.360833333333333,7.1,5.306,5.177,-0.4478333333333333,-0.427,11.400833333333333,11.223500000000001,30
